"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Central Power Plant","RI",59298,"--","--"
"Central Utilities Plant LAX","CA",44904,0,80
"Central Utility Plant","TX",16921,1,390
"Century Generating Facility","CA",1037,0,10
"CenturyLink Regional HQ","NC",101,0,2
"Ceredo Generating Station","WV",16490,0,4
"Chalk Cliff Limited","CA",166870,1,454
"Chalk Point LLC","MD",5968714,54919,12599
"Chambers Cogeneration LP","NJ",2196599,14059,1567
"Chambersburg","PA",88621,0,61
"Chamois","MO",474442,802,1164
"Chaney Dell Plant","OK",11380,0,33
"Channel Energy Center LLC","TX",1282443,12,165
"Channelview Cogeneration Plant","TX",2791667,14,261
"Chanute 2","KS",2885,0,5
"Chanute 3","KS",3943,0,102
"Chappell","NE",21,"--","--"
"Charles P Keller","NY",10204,5,232
"Charles Poletti","NY",1573846,1258,2155
"Charles R Lowman","AL",3864440,14149,9646
"Charleston Resource Recovery Facility","SC",96139,9,413
"Charter Dura-Bar","IL",82,0,2
"Chattahoochee Energy Facility","GA",369215,2,44
"Chehalis Generating Facility","WA",803672,7,78
"Chena 6","AK","--",1,2
"Cherokee","CO",4854071,6406,9799
"Cherokee County Cogen","SC",94874,0,21
"Cherry Street","MA",2482,3,45
"Chesapeake","VA",3738103,27368,6357
"Chester Generating Station","PA",3030,0,1
"Chester Operations","PA",615286,0,186
"Chesterfield","VA",8223629,71149,10125
"Chestnut Ridge Gas Recovery","TN","--",0,131
"Cheswick Power Plant","PA",2701519,33857,3550
"Chevak","AK",1587,3,39
"Chevron Oil","MS",1387670,8,205
"Chicago","IL",1116,0,4
"Chicopee Electric","MA","--",0,109
"Childrens Hospital","CA",12434,"--","--"
"Chilkat Valley","AK",93,"--","--"
"Chillicothe","MO",1866,1,6
"Chino Mines","NM",143134,0,53
"Cholla","AZ",7976380,19983,13427
"Chouteau","OK",579325,3,139
"Chowchilla II","CA",2304,0,170
"Christiana","DE",1811,0,9
"Chunchula Plant 1","AL",10069,0,33
"Church Street Plant","VA",653,1,13
"Cimarron River","KS",77548,0,124
"City Light & Water","NE",75,0,1
"Civic Center","CA",104710,0,218
"Clairton Works","PA",52380,4,171
"Clark (NVE)","NV",1168995,0,99
"Clark (SD)","SD",104,"--","--"
"Clark University","MA",9068,36,230
"Claude Vandyke","MI",6425,0,12
"Clay Boswell","MN",7664476,18110,13142
"Clay Center","KS",2660,0,4
"Clear Lake Cogeneration Ltd","TX",613232,3,1698
"Clearwater Paper APP CB","AR",140240,1453,510
"Clearwater Paper IPP Lewiston","ID",65892,3305,934
"Clearwater Power Plant","CA",17106,"--","--"
"Cleary Flood Hybrid","MA",42847,206,79
"Cleveland Peaking","OH",340,1,10
"Clewiston Sugar House","FL",22718,26,383
"Clifton","KS",13379,0,8
"Clifty Creek","IN",8780344,67730,20522
"Clinch River","VA",3581687,23871,6659
"Clinton","MI",15,"--","--"
"Clover","VA",5519989,1590,8520
"Coachella","CA",6762,0,19
"Coal Creek","ND",9438190,24848,10594
"Coalinga 25D Cogen","CA",107732,0,219
