"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Church Street Plant","VA",476,1,9
"Cimarron River","KS",78082,0,145
"City Light & Water","NE",35,0,1
"Civic Center","CA",91575,0,262
"Clairton Works","PA",33750,4,211
"Clark (NVE)","NV",1766150,2,1041
"Clark (SD)","SD",57,0,1
"Clark University","MA",4655,1,108
"Claude Vandyke","MI",10573,1,50
"Clay Boswell","MN",7394147,19511,13643
"Clay Center","KS",3527,0,29
"Clear Lake Cogeneration Ltd","TX",1460463,7,3906
"Clearwater Paper APP CB","AR",176646,1338,484
"Clearwater Paper IPP Lewiston","ID",150906,2831,972
"Cleary Flood Hybrid","MA",118537,97,157
"Clewiston Sugar House","FL",519,206,630
"Clifton","KS",14661,0,35
"Clifty Creek","IN",7797437,34653,26518
"Clinch River","VA",4097698,24492,11633
"Clinton","MI",25,0,0
"Clover","VA",5723490,1915,9197
"Co-Gen II LLC","OR","--",11,96
"Co-Gen LLC","OR","--",11,95
"Coachella","CA",3858,0,11
"Coal Creek","ND",9181847,22161,9394
"Coalinga 25D Cogen","CA",39056,0,104
"Coalinga 6C Cogen","CA",106256,1,284
"Coalinga Cogeneration","CA",204320,1,545
"Coalinga Cogeneration Facility","CA",38571,0,105
"Coastal Carolina Clean Power","NC",64112,302,91
"Coastal Plains","TX","--",0,2
"Coca Cola Bottling of New York","NY",1966,0,46
"Coffeen","IL",4801413,38402,13009
"Coffeyville","KS",29260,0,29
"Coggon","IA",86,0,2
"Coidgen","CA",5555,0,11
"Coit GT","SC",1849,1,7
"Colbert","AL",6022675,45324,13871
"Colby","KS",146,"--","--"
"Colby City of","KS",93,0,2
"Colchester 16","VT",535,1,3
"Coldwater","MI",1335,0,31
"Coleman","MO",53,0,1
"Coleto Creek","TX",4068131,12962,3224
"Colfax","MI",192,0,3
"Collin","TX",49196,1,24
"Collins","IL",1384930,427,1717
"Collins Pine Project","CA","--",5,34
"Collinwood","OH",1081,0,3
"Colorado Energy Nations Company","CO",741256,1867,1089
"Colstrip","MT",14406951,15181,29603
"Colstrip Energy LP","MT",230873,319,157
"Columbia (MO)","MO",110441,803,253
"Columbia (WI)","WI",6473582,24949,10183
"Columbia Energy Center","MO",5480,0,2
"Columbus MS","MS",33761,3183,700
"Colver Power Project","PA",1127692,1822,853
"Comanche (CO)","CO",4758260,15217,7992
"Comanche (OK)","OK",658618,3,2698
"Combustion Turbine Project No 2","CA",791,0,3
"Commerce Refuse To Energy","CA",64506,5,145
"Commercial Street","MA",23,0,0
"Commonwealth Chesapeake","VA",85231,22,71
"Concord","WI",29428,0,20
